matchID,teamID,Goal,X,Y,C,Angle,Distance
1.0,Burnley,0,14.0,73.1,23.099999999999994,0.24622654558974735,21.01285856327025
1.0,Burnley,0,22.200000000000003,34.9,15.100000000000001,0.265986822750809,25.292100051201764
1.0,Burnley,0,22.900000000000006,65.1,15.099999999999994,0.26020113184699506,25.971065630813076
1.0,Burnley,0,26.799999999999997,60.3,10.299999999999997,0.24516504501377342,28.925466720521552
1.0,Manchester United,0,14.799999999999997,49.3,0.7000000000000028,0.4622494988804473,15.546659609060717
1.0,Manchester United,0,11.400000000000006,52.2,2.200000000000003,0.5862527891237029,12.055115096920483
1.0,Burnley,0,15.0,51.3,1.2999999999999972,0.4554558123023133,15.772651172203105
1.0,Manchester United,0,15.400000000000006,48.5,1.5,0.4437039838772569,16.199368043229345
1.0,Manchester United,0,8.799999999999997,48.5,1.5,0.7477418835095475,9.291298348454857
1.0,Manchester United,0,24.299999999999997,64.5,14.5,0.2516490501213439,27.200107536552128
1.0,Manchester United,0,26.200000000000003,33.6,16.4,0.2307774349888419,29.503147289738433
1.0,Burnley,0,23.5,40.2,9.799999999999997,0.27669441487908325,25.4839660374911
1.0,Manchester United,0,8.799999999999997,53.6,3.6000000000000014,0.7178156542225171,9.531694497831953
1.0,Manchester United,0,21.099999999999994,36.1,13.899999999999999,0.2823258938438415,23.926455023676194
1.0,Manchester United,0,22.900000000000006,65.5,15.5,0.2582704718746962,26.070436321626843
1.0,Manchester United,0,8.799999999999997,41.2,8.799999999999997,0.5735604302309932,10.867198351001049
1.0,Manchester United,1,16.0,54.0,4.0,0.4196933376909174,17.0
1.0,Manchester United,0,8.799999999999997,42.1,7.899999999999999,0.6024324634022469,10.570989783364656
1.0,Burnley,0,20.900000000000006,60.2,10.200000000000003,0.30393813600464537,22.924657576504828
1.0,Burnley,0,11.0,35.1,14.899999999999999,0.37656312900724503,15.073212165958521
1.0,Burnley,0,9.599999999999994,40.9,9.100000000000001,0.5396240416146482,11.687327538834527
1.0,Burnley,0,8.5,49.3,0.7000000000000028,0.7767787500916149,8.936590513165523
1.0,Manchester United,0,13.0,42.1,7.899999999999999,0.46473259563394886,14.583920083434359
1.0,Burnley,0,13.099999999999994,63.7,13.700000000000003,0.3759198131596614,16.385940619933905
2.0,Manchester City,0,3.299999999999997,44.6,5.399999999999999,1.1638902926516974,4.93217244224084
2.0,Manchester City,0,3.9000000000000057,50.1,0.10000000000000142,1.4585888952165331,4.0955158405260805
2.0,Manchester City,0,17.799999999999997,65.4,15.400000000000006,0.303977248247827,21.201797093642792
2.0,Manchester City,0,10.5,55.1,5.100000000000001,0.5953660299503155,11.512595276478715
2.0,Manchester City,0,9.200000000000003,62.7,12.700000000000003,0.445541959392336,12.706715744046535
2.0,Manchester City,0,25.599999999999994,57.9,7.899999999999999,0.26139733039694646,27.366085306451847
2.0,Manchester City,0,10.700000000000003,72.3,22.299999999999997,0.24936454692676238,18.33930887465501
2.0,Manchester City,0,10.0,52.4,2.3999999999999986,0.6587548433254662,10.61525317644379
2.0,Aston Villa,0,4.200000000000003,69.1,19.099999999999994,0.1988613148344237,13.174988614795836
2.0,Manchester City,0,18.5,51.1,1.1000000000000014,0.3719917309080343,19.438154490588865
2.0,Manchester City,0,24.5,54.6,4.600000000000001,0.27900453078362,25.89817995535594
2.0,Manchester City,0,8.400000000000006,47.6,2.3999999999999986,0.7681386576233147,8.956896784043014
2.0,Aston Villa,0,18.5,68.4,18.400000000000006,0.27344313849964785,22.81166861498738
2.0,Manchester City,0,8.700000000000003,68.7,18.700000000000003,0.2978857968799322,15.20500739888015
2.0,Aston Villa,0,15.5,61.8,11.799999999999997,0.36656566564471904,17.991790488998028
2.0,Manchester City,0,9.700000000000003,61.5,11.5,0.47153378456798933,12.63367919491389
2.0,Manchester City,0,11.5,28.0,22.0,0.25657709943721113,18.716186176676057
2.0,Manchester City,0,13.400000000000006,65.8,15.799999999999997,0.3412061511387666,17.419466122703078
2.0,Aston Villa,0,20.599999999999994,33.7,16.299999999999997,0.2724380591055014,24.085492002448273
2.0,Manchester City,0,21.599999999999994,66.8,16.799999999999997,0.26153854757789274,25.171984427136447
2.0,Manchester City,0,10.799999999999997,34.3,15.700000000000003,0.36178714870332906,15.25574072275745
2.0,Manchester City,0,10.400000000000006,65.5,15.5,0.3679379181777872,14.857726104623147
2.0,Aston Villa,0,10.200000000000003,37.9,12.100000000000001,0.44790430286013105,13.287675680870604
2.0,Manchester City,0,26.5,51.2,1.2000000000000028,0.2613715169178933,27.835930467652773
2.0,Manchester City,0,8.799999999999997,54.2,4.200000000000003,0.7053495249833731,9.634858587441746
2.0,Aston Villa,0,24.200000000000003,41.5,8.5,0.27359303311656313,26.003725213899646
2.0,Aston Villa,0,23.5,45.5,4.5,0.2905699924150798,24.847761468591088
2.0,Aston Villa,0,9.299999999999997,38.2,11.799999999999997,0.46979689525443924,12.417090037524892
2.0,Aston Villa,0,22.5,39.4,10.600000000000001,0.28411310575061693,24.60920000731434
2.0,Manchester City,0,11.700000000000003,54.2,4.200000000000003,0.555192578603512,12.584678184204794
2.0,Manchester City,0,8.400000000000006,59.8,9.799999999999997,0.5514006709993161,10.879765622475517
2.0,Manchester City,0,2.200000000000003,54.0,4.0,1.6474972156050327,3.477944795421574
2.0,Manchester City,0,13.099999999999994,55.5,5.5,0.4904026978245721,14.21198965662443
2.0,Aston Villa,0,11.799999999999997,46.6,3.3999999999999986,0.5589435404911527,12.585555212226431
2.0,Aston Villa,0,12.0,56.9,6.899999999999999,0.5084775895145339,13.374424286674921
