matchID,teamID,Goal,X,Y,C,Angle,Distance,xG
102.0,Newcastle United,0,12.900000000000004,52.5,2.5,0.5211376636485854,13.642127766591258,0.10205871571952535
102.0,Southampton,0,21.599999999999994,61.7,11.700000000000005,0.28877988292060763,23.921087454377986,0.03860025733165085
103.0,Leicester City,0,9.299999999999997,38.3,11.700000000000005,0.4726596420172017,12.377045285527556,0.10282033454480205
103.0,Leicester City,0,14.0,70.1,20.099999999999994,0.2805799354788576,19.66683057841298,0.049894610437387854
103.0,Leicester City,0,13.099999999999996,36.7,13.299999999999995,0.3821239671407917,16.246108764870428,0.07157588683928667
103.0,Brighton,0,14.0,54.9,4.899999999999999,0.4680905917784984,15.041084568607411,0.0871077159748462
103.0,Leicester City,0,23.8,73.0,23.0,0.2157653256589448,29.120484199271132,0.024787970595432102
103.0,Leicester City,0,27.599999999999994,70.3,20.3,0.2089226339319412,31.842556822591987,0.020575471450826773
103.0,Brighton,0,10.099999999999994,57.7,7.700000000000002,0.5589081618775215,11.72672375388795,0.12033687572873791
103.0,Brighton,0,21.200000000000006,69.3,19.3,0.2494932335656144,25.551607092314182,0.032800257435749776
103.0,Brighton,0,17.700000000000006,43.8,6.200000000000002,0.3724184037425603,19.016916811092173,0.05947007150364991
103.0,Leicester City,0,14.5,31.8,18.2,0.3015150130882324,19.280807166713746,0.052719635552400244
103.0,Brighton,0,14.400000000000004,47.6,2.3999999999999986,0.4704323290416166,15.200263155616753,0.08656195948310234
103.0,Leicester City,0,10.700000000000003,30.7,19.3,0.2954523312538128,16.8404943514138,0.060841074553143894
103.0,Leicester City,0,9.799999999999997,31.0,19.0,0.2982558178674976,16.075030326565482,0.06405804474261584
103.0,Leicester City,0,2.799999999999997,58.5,8.5,0.6957170334045435,6.258532176157599,0.19542048662779726
103.0,Leicester City,1,15.099999999999996,46.0,4.0,0.44279647153751395,16.06676772098233,0.07895850831385169
103.0,Leicester City,0,13.099999999999996,36.5,13.5,0.3790207071921984,16.315656591139685,0.07095241401124078
103.0,Brighton,0,9.099999999999994,53.2,3.200000000000003,0.7048335527816736,9.778774207435198,0.16332504949601376
103.0,Leicester City,1,6.700000000000002,49.3,0.7000000000000028,0.9567506963168104,7.049698575116532,0.2569687721307698
103.0,Leicester City,1,15.5,34.0,16.0,0.3198800008852802,19.314130190096574,0.054050609154575505
